name	parent	project	category	type	priority	status	description	fileImportPath	custom_fields
plate-afg-030	afg-030	geostorm	tasks	plates	medium	idle		/geostorm/HoudiniTest_Sphere_Render.%04d.exr	inputStartFrame:110;startFrame:1001;endFrame:3400;inputColorSpace:Linear;inputX:1080;inputY:720;head:24;tail:328;
Camera v1	afg-030	geostorm	tasks	camera	medium	idle			comp_status:Waiting;grouping:bldg;
shopFLA	afg-030	geostorm	assets	assets	medium	idle			comp_status:Waiting;grouping:bldg;
Texture_shop	shopFLA	geostorm	tasks	texture	none	idle			comp_status:Waiting;grouping:bldg;
Lookdev_shop	shopFLA	geostorm	tasks	lookdev	none	idle			grouping:bldg;comp_status:Unassigned;prod_status:NONE;
roto-afg-030	afg-030	geostorm	tasks	roto	none	idle			comp_status:Waiting;grouping:bldg;
afg-035	geostorm	geostorm	groups	shots	critical	hold			production_status:Bid;comp_status:WIP;
plate-afg-035	afg-035	geostorm	tasks	plates	none	idle		/geostorm/HoudiniTest_Sphere_Render.%04d.exr	inputStartFrame:110;startFrame:1001;endFrame:3400;inputColorSpace:Linear;inputX:1080;inputY:720;head:24;tail:328;
Camera v1	afg-035	geostorm	tasks	camera	none	idle			comp_status:Waiting;grouping:bldg;
roto-afg-030	afg-035	geostorm	tasks	roto	none	idle			comp_status:Waiting;grouping:bldg;
bush	afg-035	geostorm	assets	assets	none	active			comp_status:Waiting;grouping:bldg;
Texture	bush	geostorm	tasks	texture	urgent	active			comp_status:Waiting;grouping:bldg;
Lookdev	bush	geostorm	tasks	lookdev	none	completed			grouping:bldg;comp_status:Unassigned;prod_status:NONE;
afg-040	geostorm	geostorm	groups	shots	high	review			production_status:Bid;comp_status:WIP;
plate-afg-035	afg-040	geostorm	tasks	plates	none	idle		/geostorm/HoudiniTest_Sphere_Render.%04d.exr	inputStartFrame:110;startFrame:1001;endFrame:3400;inputColorSpace:Linear;inputX:1080;inputY:720;head:24;tail:328;
Camera v1	afg-040	geostorm	tasks	camera	urgent	idle			comp_status:Waiting;grouping:bldg;
roto-afg-030	afg-040	geostorm	tasks	roto	medium	idle			comp_status:Waiting;grouping:bldg;
matte	afg-040	geostorm	tasks	matte	medium	idle			comp_status:Waiting;grouping:bldg;
afg-045	geostorm	geostorm	groups	shots	medium	review			production_status:Bid;comp_status:WIP;
plate-afg-035	afg-045	geostorm	tasks	plates	none	idle		/geostorm/HoudiniTest_Sphere_Render.%04d.exr	inputStartFrame:110;startFrame:1001;endFrame:3400;inputColorSpace:Linear;inputX:1080;inputY:720;head:24;tail:328;
Camera v1	afg-045	geostorm	tasks	camera	none	idle			comp_status:Waiting;grouping:bldg;
roto-afg-030	afg-045	geostorm	tasks	roto	urgent	idle			comp_status:Waiting;grouping:bldg;
mumbaiStreet	afg-035	geostorm	assets	assets	none	review			comp_status:Waiting;grouping:bldg;
Texture	mumbaiStreet	geostorm	tasks	texture	urgent	review			comp_status:Waiting;grouping:bldg;
Lookdev	mumbaiStreet	geostorm	tasks	lookdev	none	review			grouping:bldg;comp_status:Unassigned;prod_status:NONE;
SEQ01	geostorm	geostorm	groups	sequence	high	active			production_status:Bid;comp_status:WIP;
seq01-shot01	SEQ01	geostorm	groups	shots	high	hold			production_status:Bid;comp_status:WIP;
seq01-shot02	SEQ01	geostorm	groups	shots	high	hold			production_status:Bid;comp_status:WIP;
skyline2	root	skyline2	projects	projects	none	idle	Feature moive		project_resolution:2k_Super35_24p;colorspace_settings:AlexaV3LogC;3d_resolution:Red_Dragon_6k_1.2 2592 1080 2.4;studio:Bros. Strause;studio_contact:Mark Brown;supervisor:Bros. Strause;producer:Eric Kohler;3d_supervisor:Nathaniel Barr;
as-010	skyline2	skyline2	groups	shots	urgent	revised			production_status:Awarded;comp_status:WIP;
Final comp	as-010	skyline2	tasks	compositing	none	idle			comp_status:Waiting;grouping:bldg;
plate-as-010	as-010	skyline2	tasks	plates	urgent	idle		/skyline2/HoudiniTest_Sphere_Render.%04d.exr	inputStartFrame:110;startFrame:1001;endFrame:3400;inputColorSpace:Linear;inputX:1080;inputY:720;head:24;tail:328;
drone	as-010	skyline2	assets	assets	none	idle			comp_status:Waiting;grouping:bldg;
Texture_drone	drone	skyline2	tasks	texture	urgent	review			comp_status:Waiting;grouping:bldg;
Lookdev_drone	drone	skyline2	tasks	lookdev	urgent	idle			grouping:bldg;comp_status:Unassigned;prod_status:NONE;
Rigging	drone	skyline2	tasks	rig	none	completed			grouping:bldg;comp_status:Unassigned;prod_status:NONE;
Matte	drone	skyline2	tasks	matte	none	completed			grouping:bldg;comp_status:Unassigned;prod_status:NONE;
as-025	skyline2	skyline2	groups	shots	none	idle			production_status:Bid;comp_status:WIP;
Final comp	as-025	skyline2	tasks	compositing	urgent	review			comp_status:Waiting;grouping:bldg;
plate-as-025	as-025	skyline2	tasks	plates	none	idle		/skyline2/HoudiniTest_Sphere_Render.%04d.exr	inputStartFrame:110;startFrame:1001;endFrame:3400;inputColorSpace:Linear;inputX:1080;inputY:720;head:24;tail:328;
armory	as-025	skyline2	assets	assets	none	idle			comp_status:Waiting;grouping:bldg;
Texture_armory	armory	skyline2	tasks	texture	urgent	approved			comp_status:Waiting;grouping:bldg;
Lookdev_armory	armory	skyline2	tasks	lookdev	none	approved			grouping:bldg;comp_status:Unassigned;prod_status:NONE;
Rigging	armory	skyline2	tasks	rig	none	completed			grouping:bldg;comp_status:Unassigned;prod_status:NONE;
as-030	skyline2	skyline2	groups	shots	none	hold			production_status:Hold;comp_status:WIP;
plate-as-030	as-030	skyline2	tasks	plates	none	idle		/skyline2/HoudiniTest_Sphere_Render.%04d.exr	inputStartFrame:110;startFrame:1001;endFrame:3400;inputColorSpace:Linear;inputX:1080;inputY:720;head:24;tail:328;
Final comp	as-030	skyline2	tasks	compositing	none	idle			comp_status:Waiting;grouping:bldg;
bladeHuman	as-030	skyline2	assets	assets	none	active			comp_status:Waiting;grouping:bldg;
Texture_shop	bladeHuman	skyline2	tasks	texture	urgent	active			comp_status:Waiting;grouping:bldg;
Lookdev_shop	bladeHuman	skyline2	tasks	lookdev	none	idle			grouping:bldg;comp_status:Unassigned;prod_status:NONE;
roto-as-030	as-030	skyline2	tasks	roto	urgent	idle			comp_status:Waiting;grouping:bldg;
as-035	skyline2	skyline2	groups	shots	none	idle			production_status:Awarded;comp_status:WIP;
plate-as-035	as-035	skyline2	tasks	plates	none	idle		/skyline2/HoudiniTest_Sphere_Render.%04d.exr	inputStartFrame:110;startFrame:1001;endFrame:3400;inputColorSpace:Linear;inputX:1080;inputY:720;head:24;tail:328;
Final comp	as-035	skyline2	tasks	compositing	high	idle			comp_status:Waiting;grouping:bldg;
roto-as-030	as-035	skyline2	tasks	roto	none	idle			comp_status:Waiting;grouping:bldg;
bladePilot	as-035	skyline2	assets	assets	medium	active			comp_status:Waiting;grouping:bldg;
Texture	bladePilot	skyline2	tasks	texture	medium	active			comp_status:Waiting;grouping:bldg;
Lookdev	bladePilot	skyline2	tasks	lookdev	none	completed			grouping:bldg;comp_status:Unassigned;prod_status:NONE;
as-040	skyline2	skyline2	groups	shots	none	revised			production_status:Bid;comp_status:WIP;
plate-as-035	as-040	skyline2	tasks	plates	none	idle		/skyline2/HoudiniTest_Sphere_Render.%04d.exr	inputStartFrame:110;startFrame:1001;endFrame:3400;inputColorSpace:Linear;inputX:1080;inputY:720;head:24;tail:328;
Final comp	as-040	skyline2	tasks	compositing	high	idle			comp_status:Waiting;grouping:bldg;
roto-as-030	as-040	skyline2	tasks	roto	none	idle			comp_status:Waiting;grouping:bldg;
matte	as-040	skyline2	tasks	matte	none	idle			comp_status:Waiting;grouping:bldg;
as-045	skyline2	skyline2	groups	shots	none	idle			production_status:Bid;comp_status:WIP;
plate-as-035	as-045	skyline2	tasks	plates	none	revised		/skyline2/HoudiniTest_Sphere_Render.%04d.exr	inputStartFrame:110;startFrame:1001;endFrame:3400;inputColorSpace:Linear;inputX:1080;inputY:720;head:24;tail:328;
Final comp	as-045	skyline2	tasks	compositing	none	revised			comp_status:Waiting;grouping:bldg;
roto-as-030	as-045	skyline2	tasks	roto	none	revised			comp_status:Waiting;grouping:bldg;
bladeStem	as-035	skyline2	assets	assets	none	idle			comp_status:Waiting;grouping:bldg;
Texture	bladeStem	skyline2	tasks	texture	high	revised			comp_status:Waiting;grouping:bldg;
Lookdev	bladeStem	skyline2	tasks	lookdev	none	idle			grouping:bldg;comp_status:Unassigned;prod_status:NONE;
sky-SEQ01	skyline2	skyline2	groups	sequence	high	hold			production_status:Bid;comp_status:WIP;
sky-SEQ01-shot01	sky-SEQ01	skyline2	groups	shots	high	hold			production_status:Bid;comp_status:WIP;
sky-SEQ01-shot02	sky-SEQ01	skyline2	groups	shots	high	hold			production_status:Bid;comp_status:WIP;
